doc1,doc2,average
15,33,2.2222222222222223
1,14,2.2
36,17,2.2222222222222223
3,44,2.0
15,39,3.111111111111111
49,14,1.8888888888888888
36,22,2.2
2,23,2.5555555555555554
15,41,2.2222222222222223
3,46,1.7777777777777777
1,20,2.1
15,44,2.6666666666666665
2,30,2.7777777777777777
3,47,2.5555555555555554
49,20,2.7777777777777777
1,25,2.2222222222222223
36,28,2.6
15,46,2.4
2,34,2.0
49,25,2.6666666666666665
3,14,2.888888888888889
1,29,1.6666666666666667
2,37,2.888888888888889
15,47,2.4444444444444446
3,20,2.7
49,29,3.1
1,35,2.4
15,14,1.5714285714285714
49,35,2.5555555555555554
2,40,2.6666666666666665
3,25,2.0
15,20,2.5555555555555554
19,24,2.9
50,12,2.7777777777777777
2,43,2.7
3,29,2.3
15,25,2.4
19,27,1.9
50,18,2.2222222222222223
2,9,2.5555555555555554
3,35,2.888888888888889
36,33,2.9
15,29,2.3333333333333335
19,13,2.0
2,49,2.8
36,39,2.2222222222222223
50,26,2.25
4,7,2.111111111111111
36,41,2.5
15,35,2.9
19,36,3.2222222222222223
4,11,3.111111111111111
50,32,3.2222222222222223
2,50,2.3333333333333335
36,44,2.3333333333333335
23,30,2.4
19,38,3.1
4,1,2.111111111111111
2,12,3.0
36,46,2.0
50,10,3.6666666666666665
4,19,2.7777777777777777
23,34,2.8
19,42,3.3333333333333335
36,47,2.111111111111111
50,17,2.6666666666666665
23,37,2.3333333333333335
4,24,3.3
36,14,2.5
2,18,2.5
19,45,2.875
23,40,2.1
4,27,2.7777777777777777
50,22,2.8
36,20,2.2
2,26,1.9
19,48,1.6666666666666667
23,43,3.111111111111111
4,13,2.111111111111111
2,32,3.4444444444444446
36,25,2.1
19,5,2.5555555555555554
50,28,2.6
23,9,1.9
4,36,2.9
19,2,2.4
50,33,2.888888888888889
36,29,1.8
23,49,2.5555555555555554
2,10,2.8
19,8,3.0
4,38,3.0
50,39,2.3333333333333335
2,17,3.5
4,42,2.125
23,50,2.1
19,16,2.2
50,41,3.125
36,35,2.1
2,22,2.3
4,45,1.7
19,21,2.888888888888889
38,42,3.111111111111111
50,44,1.875
23,12,1.8
4,48,2.0
2,28,2.2
38,45,2.3
19,31,1.8888888888888888
23,18,2.3333333333333335
50,46,2.3
2,33,2.888888888888889
4,5,3.625
19,6,3.0
38,48,2.0
23,26,2.3333333333333335
50,47,2.7142857142857144
38,5,2.9
2,39,2.0
4,2,3.2
19,15,2.6
23,32,2.0
50,14,2.0
38,2,2.6666666666666665
4,8,2.6
19,23,2.2
2,41,3.4
38,8,2.7777777777777777
50,20,3.3
4,16,1.8888888888888888
38,16,2.0
2,44,2.2222222222222223
19,30,2.6666666666666665
23,10,1.2222222222222223
50,25,2.3
38,21,2.5
2,46,3.2222222222222223
4,21,2.3
19,34,2.5
23,17,2.7777777777777777
38,31,2.111111111111111
50,29,2.6666666666666665
2,47,2.111111111111111
4,31,2.142857142857143
23,22,2.5
19,37,2.375
50,35,2.6666666666666665
4,6,3.0
2,14,3.0
38,6,2.6
23,28,2.5555555555555554
12,18,3.0
4,15,1.8888888888888888
19,40,2.1
23,33,2.2222222222222223
38,15,2.375
12,26,2.6666666666666665
2,20,2.5
23,39,2.25
19,43,2.2222222222222223
38,23,2.25
4,23,2.888888888888889
23,41,2.3333333333333335
2,25,2.0
19,9,1.6666666666666667
38,30,2.888888888888889
12,32,2.2
4,30,2.75
2,29,3.2
19,49,1.8888888888888888
38,34,3.3333333333333335
4,34,2.5555555555555554
23,44,2.5
38,37,1.7
2,35,2.888888888888889
12,10,2.4
4,37,2.0
19,50,2.25
38,40,3.6666666666666665
8,16,3.5555555555555554
12,17,2.4
4,40,2.888888888888889
8,21,3.1
38,43,2.875
23,46,1.9
12,22,2.3
4,43,2.9
38,9,2.2222222222222223
23,47,2.4444444444444446
8,31,1.8
12,28,2.5
19,12,2.3333333333333335
4,9,2.3333333333333335
38,49,2.4
23,14,3.3333333333333335
8,6,2.111111111111111
4,49,2.25
38,50,2.3
23,20,2.2222222222222223
8,15,2.5
12,33,2.125
4,50,3.1
19,18,2.625
38,12,2.5555555555555554
23,25,2.2
8,23,2.7777777777777777
4,12,2.3333333333333335
12,39,2.0
19,26,1.9
38,18,2.3
23,29,2.6666666666666665
12,41,2.6
8,30,2.111111111111111
19,32,3.4444444444444446
4,18,2.9
23,35,3.0
12,44,1.875
38,26,3.5
8,34,2.6
4,26,2.8
19,10,2.6666666666666665
38,32,2.6
30,34,2.2222222222222223
8,37,2.4
4,32,2.111111111111111
38,10,3.0
19,17,3.2222222222222223
30,37,3.2
8,40,2.6
38,17,2.9
4,10,2.3333333333333335
19,22,2.888888888888889
8,43,1.7
30,40,2.8
38,22,2.3
4,17,2.7
19,28,3.0
8,9,2.4444444444444446
12,46,3.0
30,43,2.25
38,28,2.3333333333333335
12,47,2.4444444444444446
19,33,3.111111111111111
30,9,2.0
4,22,2.25
8,49,2.4
38,33,2.4444444444444446
19,39,2.5555555555555554
30,49,1.4
4,28,2.125
12,14,3.111111111111111
38,39,2.2222222222222223
8,50,2.625
19,41,2.875
30,50,2.125
4,33,2.111111111111111
38,41,2.3
12,20,2.7
8,12,3.0
4,39,2.0
38,44,2.4
30,12,2.5555555555555554
4,41,3.2
12,25,2.4444444444444446
19,44,2.3
8,18,2.3333333333333335
38,46,2.888888888888889
30,18,2.4444444444444446
4,44,2.8
19,46,2.5
12,29,2.5555555555555554
8,26,2.8
38,47,2.888888888888889
30,26,2.3
4,46,2.5
12,35,2.5
19,47,3.0
8,32,2.1
4,47,2.4444444444444446
38,14,2.6
18,26,2.5
19,14,3.2
30,32,2.9
4,14,2.4444444444444446
38,20,2.7777777777777777
18,32,3.0
19,20,3.6666666666666665
8,10,2.6666666666666665
4,20,2.4
30,10,2.6
18,10,3.0
38,25,1.8
4,25,3.4
30,17,2.2
8,17,3.4
19,25,2.5555555555555554
18,17,1.9
38,29,3.6666666666666665
30,22,1.8888888888888888
8,22,2.5555555555555554
4,29,2.0
19,29,1.8
18,22,3.111111111111111
38,35,3.111111111111111
30,28,2.1
8,28,2.888888888888889
4,35,1.9
18,28,2.3333333333333335
42,45,2.3
7,11,3.0
8,33,2.6
30,33,2.5
42,48,2.7777777777777777
18,33,2.2
19,35,2.5
7,1,2.4
42,5,2.8
30,39,3.6666666666666665
18,39,1.5
8,39,2.6666666666666665
7,19,3.4
42,2,2.7777777777777777
18,41,2.5
24,27,2.3
30,41,2.3333333333333335
42,8,2.4444444444444446
8,41,2.5
18,44,2.875
7,24,3.2
42,16,2.375
30,44,2.4
24,13,2.3333333333333335
18,46,2.4
42,21,3.2
7,27,2.2222222222222223
8,44,2.4
18,47,2.3
30,46,1.8
42,31,2.0
18,14,2.4
7,13,2.4444444444444446
8,46,3.3333333333333335
42,6,2.4
24,36,2.6
30,47,2.625
7,36,2.3333333333333335
18,20,2.4
30,14,2.6666666666666665
24,38,3.0
8,47,2.0
18,25,2.3333333333333335
7,38,2.1
42,15,1.8888888888888888
24,42,2.5
30,20,2.3
7,42,3.2222222222222223
18,29,2.375
8,14,2.4444444444444446
42,23,1.8888888888888888
24,45,2.0
18,35,2.125
8,20,2.0
42,30,2.0
7,45,2.8
24,48,2.7777777777777777
26,32,2.4
8,25,2.7
42,34,2.3
7,48,2.5
30,25,2.3
8,29,3.1
24,5,2.3333333333333335
42,37,2.5555555555555554
26,10,2.9
8,35,1.9
7,5,2.7
30,29,2.888888888888889
24,2,3.375
42,40,2.4
7,2,2.3333333333333335
16,21,2.111111111111111
26,17,2.5
24,8,2.2222222222222223
30,35,2.0
42,43,2.5555555555555554
7,8,2.6
16,31,1.6
24,16,2.7
34,37,2.4444444444444446
42,9,2.7
26,22,2.4
16,6,2.2222222222222223
7,16,3.0
26,28,2.5
24,21,2.6666666666666665
34,40,2.4
42,49,2.6
16,15,1.875
7,21,2.5
26,33,1.9
7,31,2.2
34,43,2.2222222222222223
42,50,2.0
24,31,2.375
16,23,2.6
7,6,2.0
26,39,2.888888888888889
34,9,2.5
42,12,1.8888888888888888
24,6,2.111111111111111
16,30,3.375
7,15,2.0
34,49,2.3333333333333335
26,41,2.5555555555555554
7,23,1.5555555555555556
16,34,1.8
34,50,3.4444444444444446
26,44,1.9
24,15,2.25
7,30,2.3
16,37,1.7
34,12,2.888888888888889
42,18,3.2
26,46,2.0
24,23,1.9
16,40,2.5555555555555554
34,18,2.3333333333333335
42,26,2.111111111111111
7,34,2.2
26,47,2.75
7,37,2.9
42,32,2.4444444444444446
24,30,2.3333333333333335
16,43,2.7
7,40,2.375
34,26,2.6666666666666665
42,10,2.888888888888889
26,14,2.6666666666666665
16,9,2.5
24,34,1.8888888888888888
7,43,2.6
42,17,1.5
34,32,1.7777777777777777
42,22,2.7777777777777777
26,20,2.5555555555555554
34,10,2.1
16,49,2.5555555555555554
24,37,2.3333333333333335
7,9,3.111111111111111
42,28,2.125
34,17,2.8
7,49,2.7777777777777777
16,50,2.2
24,40,1.8
42,33,2.1
34,22,2.4444444444444446
26,25,2.7777777777777777
7,50,2.6666666666666665
24,43,2.4444444444444446
16,12,2.7
34,28,2.888888888888889
26,29,2.4
42,39,1.6666666666666667
7,12,2.7
34,33,2.2
16,18,2.888888888888889
24,9,2.5
26,35,3.0
42,41,2.0
7,18,2.375
34,39,2.5555555555555554
16,26,3.625
24,49,1.375
42,44,2.0
16,32,2.7777777777777777
34,41,2.9
32,10,2.7777777777777777
7,26,2.5
16,10,3.0
34,44,2.5
42,46,2.6666666666666665
32,17,2.6
7,32,2.8
24,50,2.1
42,47,2.4
7,10,3.375
34,46,2.3333333333333335
24,12,2.6666666666666665
16,17,2.875
7,17,2.2222222222222223
42,14,2.888888888888889
34,47,2.9
24,18,1.6
32,22,3.3333333333333335
7,22,2.5
42,20,2.3333333333333335
34,14,2.6666666666666665
32,28,2.111111111111111
16,22,2.6
24,26,2.6666666666666665
7,28,2.4
32,33,2.6
42,25,2.9
34,20,2.2
7,33,3.1
24,32,2.888888888888889
34,25,3.0
16,28,2.7
42,29,1.8888888888888888
24,10,2.111111111111111
7,39,2.7777777777777777
34,29,2.6666666666666665
32,39,2.4444444444444446
7,41,2.7777777777777777
16,33,2.5555555555555554
24,17,3.1
42,35,2.3
34,35,2.6
16,39,2.5555555555555554
7,44,2.7777777777777777
32,41,3.1
45,48,2.4
24,22,2.9
37,40,3.4444444444444446
16,41,2.3
32,44,2.8
45,5,2.6666666666666665
24,28,2.4
37,43,3.111111111111111
7,46,3.111111111111111
32,46,3.6666666666666665
16,44,2.4444444444444446
24,33,1.8888888888888888
45,2,2.5555555555555554
37,9,2.6
7,47,3.7
24,39,3.3333333333333335
32,47,2.111111111111111
16,46,2.6666666666666665
7,14,3.3333333333333335
24,41,2.8
32,14,2.7
45,8,2.5
37,49,2.6666666666666665
24,44,1.9
16,47,2.0
32,20,2.375
45,16,3.4285714285714284
7,20,2.5555555555555554
37,50,2.7777777777777777
24,46,2.5
16,14,2.5555555555555554
32,25,2.3
37,12,2.5555555555555554
45,21,2.25
7,25,1.9
16,20,2.7
37,18,2.2
32,29,1.8
45,31,2.4
24,47,2.5
7,29,2.0
16,25,1.625
32,35,2.2
37,26,2.6
45,6,2.4444444444444446
24,14,1.625
16,29,2.5714285714285716
10,17,3.3
45,15,2.3333333333333335
37,32,3.3333333333333335
24,20,2.4
16,35,3.0
7,35,3.25
37,10,2.7777777777777777
24,25,2.8
10,22,2.111111111111111
45,23,2.7777777777777777
21,31,2.4
11,1,2.5555555555555554
37,17,2.5
45,30,3.1
21,6,2.2
11,19,3.3
24,29,2.111111111111111
10,28,3.1
37,22,2.1
21,15,2.2222222222222223
11,24,2.1
45,34,2.25
10,33,3.0
24,35,3.5
37,28,1.8
11,27,2.5
21,23,2.3
45,37,3.0
10,39,3.1
11,13,2.4
21,30,1.875
45,40,2.3
37,33,2.2222222222222223
27,13,2.5
21,34,2.2222222222222223
11,36,1.7777777777777777
27,36,2.7777777777777777
45,43,3.0
37,39,2.1
10,41,3.7777777777777777
21,37,2.1
27,38,2.4444444444444446
10,44,2.25
11,38,2.3
37,41,2.8
45,9,2.7
21,40,1.9
10,46,2.4
27,42,2.25
37,44,2.111111111111111
11,42,2.7777777777777777
45,49,2.9
10,47,2.7142857142857144
27,45,2.1
37,46,2.4
11,45,2.5
45,50,3.1
10,14,3.5
27,48,2.111111111111111
21,43,1.625
11,48,2.8
37,47,2.3
45,12,2.0
10,20,2.2222222222222223
27,5,2.4
21,9,3.5555555555555554
11,5,3.375
37,14,2.6
45,18,1.8
10,25,3.0
21,49,2.111111111111111
11,2,2.3
27,2,2.25
37,20,2.6
21,50,2.6
45,26,2.0
11,8,2.2
27,8,2.6
37,25,3.0
27,16,2.5
21,12,2.111111111111111
10,29,2.3
11,16,2.9
45,32,2.111111111111111
37,29,2.7777777777777777
27,21,2.7
21,18,2.2
10,35,2.888888888888889
11,21,2.6666666666666665
45,10,2.2
37,35,3.0
21,26,2.2222222222222223
17,22,3.0
27,31,2.5555555555555554
40,43,2.3333333333333335
45,17,1.9
11,31,2.375
21,32,2.8
27,6,2.0
17,28,3.3333333333333335
45,22,3.0
11,6,2.9
21,10,2.9
40,9,1.8
17,33,2.3333333333333335
27,15,2.5555555555555554
45,28,2.6666666666666665
11,15,2.875
40,49,2.0
21,17,2.3333333333333335
27,23,2.7777777777777777
17,39,3.25
40,50,2.7777777777777777
11,23,2.1
21,22,3.0
27,30,3.3
17,41,1.8888888888888888
11,30,2.2
21,28,3.5
45,33,3.0
40,12,2.8
27,34,2.111111111111111
17,44,2.3
11,34,3.0
27,37,2.7777777777777777
40,18,2.5
21,33,1.8
11,37,2.5
45,39,2.2
17,46,2.7
40,26,2.875
11,40,2.375
21,39,1.8888888888888888
45,41,2.5555555555555554
27,40,2.1
17,47,1.9
40,32,2.0
21,41,1.8
45,44,2.2
27,43,2.888888888888889
11,43,2.888888888888889
40,10,2.888888888888889
21,44,3.4
17,14,1.875
45,46,2.7
27,9,3.2
21,46,2.5
11,9,2.7
17,20,2.8
45,47,2.7
40,17,2.6666666666666665
21,47,3.125
11,49,2.125
27,49,2.5555555555555554
40,22,3.1
45,14,2.4285714285714284
21,14,2.9
11,50,2.3333333333333335
27,50,2.5
45,20,2.1
40,28,2.3
17,25,2.6
21,20,1.8
27,12,2.5714285714285716
45,25,2.111111111111111
11,12,2.0
17,29,2.5555555555555554
27,18,2.0
40,33,1.9
21,25,3.0
45,29,2.2222222222222223
11,18,2.375
40,39,1.9
17,35,3.2222222222222223
21,29,2.3333333333333335
27,26,2.7
45,35,2.888888888888889
22,28,2.4
11,26,2.25
40,41,3.111111111111111
48,5,3.2222222222222223
21,35,1.3333333333333333
27,32,2.9
40,44,2.3333333333333335
11,32,2.9
22,33,2.6666666666666665
31,6,2.2
27,10,2.5
48,2,2.5
40,46,2.8
27,17,1.7
31,15,3.4
11,10,2.9
40,47,2.111111111111111
22,39,3.3333333333333335
48,8,2.7777777777777777
27,22,2.4
31,23,2.4
11,17,2.75
22,41,2.2
11,22,2.7
40,14,2.9
48,16,2.8
31,30,3.5714285714285716
27,28,3.1
40,20,2.5
31,34,2.3
22,44,3.25
27,33,2.3
48,21,2.4444444444444446
40,25,2.0
11,28,2.8
31,37,2.111111111111111
22,46,2.4
48,31,2.3
40,29,2.7
27,39,2.5
11,33,2.1
31,40,2.875
48,6,2.6666666666666665
22,47,2.7
27,41,1.8571428571428572
40,35,2.8
11,39,3.0
31,43,2.7
22,14,2.25
48,15,2.5
27,44,2.4
43,9,2.6666666666666665
11,41,2.4
22,20,2.875
27,46,2.4444444444444446
31,9,2.8
43,49,2.1
48,23,2.4444444444444446
11,44,2.4
22,25,2.0
27,47,2.9
31,49,1.7777777777777777
48,30,2.9
11,46,2.125
22,29,2.0
27,14,2.6666666666666665
31,50,2.0
48,34,2.3333333333333335
43,50,2.6
11,47,2.5
27,20,1.9
31,12,2.1
22,35,2.75
43,12,3.0
11,14,2.2222222222222223
31,18,2.0
48,37,3.111111111111111
28,33,2.0
27,25,2.888888888888889
11,20,1.5555555555555556
31,26,2.0
43,18,2.4
48,40,2.1
28,39,2.8
11,25,2.3333333333333335
27,29,2.8
43,26,2.3
31,32,2.4285714285714284
48,43,2.8
11,29,2.1
43,32,2.6666666666666665
31,10,3.0
28,41,2.4
48,9,2.8
27,35,2.5
28,44,2.4
31,17,2.8
11,35,2.2222222222222223
48,49,2.875
13,36,3.4
43,10,2.6
28,46,2.2
48,50,2.2
13,38,2.3
28,47,2.7
31,22,2.7
43,17,3.111111111111111
48,12,2.8
13,42,1.7777777777777777
1,19,3.1
28,14,2.5555555555555554
31,28,2.75
1,24,2.5
43,22,2.7777777777777777
48,18,2.7
28,20,1.8
13,45,2.4444444444444446
31,33,2.857142857142857
1,27,2.0
28,25,3.0
48,26,2.4
43,28,2.5
13,48,2.0
31,39,3.2
48,32,2.875
1,13,1.7777777777777777
43,33,2.6666666666666665
28,29,2.3
13,5,2.3333333333333335
48,10,3.0
43,39,3.111111111111111
1,36,1.9
31,41,2.9
13,2,2.2
28,35,2.5555555555555554
43,41,3.0
13,8,2.5555555555555554
1,38,3.111111111111111
31,44,1.4285714285714286
33,39,2.111111111111111
43,44,2.4
48,17,2.5
13,16,2.125
31,46,1.9
1,42,2.5555555555555554
43,46,2.6666666666666665
48,22,2.4
13,21,2.75
33,41,3.3333333333333335
31,47,3.1
43,47,2.0
48,28,2.111111111111111
13,31,2.5555555555555554
33,44,2.375
1,45,2.6
43,14,2.7
31,14,2.7777777777777777
13,6,2.3333333333333335
33,46,2.25
48,33,2.3
43,20,1.8888888888888888
1,48,3.3
48,39,3.5
33,47,2.9
13,15,2.6
31,20,2.5
1,5,2.5
43,25,3.111111111111111
13,23,2.7
33,14,2.5
48,41,2.125
31,25,3.5
43,29,2.4
33,20,3.0
48,44,2.7777777777777777
13,30,2.4444444444444446
48,46,1.8
31,29,2.7
13,34,2.8
33,25,2.0
48,47,3.0
31,35,3.4444444444444446
43,35,2.7
13,37,3.0
33,29,1.1428571428571428
48,14,2.0
9,49,2.3
33,35,2.5
48,20,2.5
9,50,3.125
6,15,2.3
13,40,2.3333333333333335
39,41,3.5714285714285716
6,23,2.2222222222222223
13,43,2.4444444444444446
48,25,2.75
39,44,2.0
9,12,2.5
6,30,3.0
13,9,3.0
39,46,2.7
6,34,3.2222222222222223
48,29,3.1
13,49,2.9
39,47,2.5555555555555554
9,18,2.1
6,37,2.625
48,35,3.3333333333333335
9,26,2.5555555555555554
39,14,3.625
44,20,1.7777777777777777
13,50,2.2222222222222223
5,2,3.0
6,40,2.111111111111111
9,32,2.5
39,20,1.9
44,25,3.2222222222222223
6,43,2.4444444444444446
5,8,2.6
13,12,2.888888888888889
39,25,2.8
5,16,2.4
39,29,2.111111111111111
6,9,2.6666666666666665
44,29,2.7777777777777777
13,18,1.8888888888888888
39,35,3.0
44,35,3.125
5,21,2.4444444444444446
6,49,2.6
41,44,2.3333333333333335
13,26,2.625
46,47,3.3333333333333335
5,31,3.2222222222222223
41,46,2.1
6,50,1.8
13,32,2.4
46,14,3.3
41,47,2.4285714285714284
13,10,3.2
46,20,2.111111111111111
41,14,3.0
46,25,2.6
13,17,3.0
41,20,2.7
13,22,2.3
46,29,3.111111111111111
41,25,2.3
41,29,2.0
13,28,2.625
46,35,1.2857142857142858
41,35,2.7777777777777777
13,33,3.2
44,46,2.6666666666666665
47,14,3.6
13,39,2.1
44,47,2.3
13,41,2.7
47,20,2.888888888888889
44,14,2.5
47,25,2.4
13,44,2.375
47,29,3.1
13,46,2.2222222222222223
47,35,3.2222222222222223
13,47,2.4
14,20,2.125
14,25,3.5
14,29,1.8888888888888888
14,35,1.9
20,25,2.4
20,29,2.9
20,35,2.5555555555555554
25,29,2.6666666666666665
25,35,2.6666666666666665
29,35,2.7
