name	label
sl:Among_the_stables	2
sl:Age	2
sl:cloak	2
rp:Expression	2
dm:Identity	2
sb:pull	2
sl:white_forehead	2
rp:Robbery	2
ag:hat	2
rp:Voice	2
df:Unusual_nature	2
df:marriage	2
df:Watson_s_remarks	2
rp:Tiptoe	2
sl:Window	2
sl:State	2
rp:circle	2
ci:house	2
df:Smoke_protection	2
sb:strongly	2
rp:Two-thirds	2
sl:Match	2
rp:about_Elderly_man_and_Young_man	2
rp:the_indentation	2
rp:chest	2
sl:Bets	2
sl:The_reason_for_bring_out_the_Silver_Blaze	2
sl:Two	2
ag:bottom	2
sl:the_shoes	2
sl:Thigh	2
sb:engagement	2
sl:receipt_already_in_liquidation_certificate	2
df:company	2
rp:Event	2
cm:mountain	2
ci:selfish	2
rp:Source_Date	2
ag:opposite_end	2
df:Pordeux_Bay	2
ci:5_years_2_months	2
rp:The_rest	2
df:Bedroom	2
df:the_first_day	2
cm:nose	2
rp:calm_Blessington	2
cm:several_minutes	2
df:Servant	2
df:Neat_clothes	2
ci:Quickly	2
df:Within_a_few_minutes	2
sl:Ten_pounds	2
rp:cigar_pipe	2
sl:deeply	2
sl:Three_pieces	2
ag:Break	2
sl:The_window	2
df:four-wheeled_carriage	2
sl:brown_color	2
sl:the_opium	2
sb:rope	2
sl:Murder_scene	2
dm:a_short_time	2
ci:right_shoes	2
df:Devil	2
df:Brother	2
sb:bell_put	2
cm:door	2
cm:friendly	2
cm:passionately	2
rp:young_man	2
sl:large_amount	2
cm:secret	2
sb:mother	2
ci:France_office	2
df:room	2
cm:sunshade	2
rp:name	2
ci:Bordeaux	2
ag:oak_chair	2
df:Tin_miner	2
ci:Required	2
ci:At_last	2
sl:The_reason_for_visit	2
df:After_his_exit	2
dm:the_second_day	2
df:song	2
rp:himself	2
df:Holmes_face	2
dm:the_first_position	2
cm:stride	2
df:bush	2
cm:member	2
sl:brown_horse	2
sl:Those	2
dm:?M_?ERE_??E_SL?NE?	2
df:Africa	2
df:Grassland	2
df:Window	2
sl:the_home	2
df:Crazy	2
sl:Wife	2
ci:die	2
sl:anxiety	2
cm:dwelleers	2
ci:Windibank_s_Thoughts	2
df:paper_packet	2
rp:metal_fittings	2
cm:sin	2
ci:nose_glasses	2
